method,ee_linear_speed_m_s,avg_force_z_error,var_force_z_error,avg_position_error,var_position_error
Feedforward + PI,1.1623892818282238,1.4580627341755101,3.782182079608111,0.007944798737747333,6.096609192372346e-05
Feedforward + PI,1.1938052083641215,3.889901679334776,29.595502628106466,0.02934489177203458,0.0023360137450978346
Feedforward + PI,1.2252211349000195,8.0,0.0,0.5494058266248666,0.021478803469751964
Feedforward + PI,1.2566370614359172,8.0,0.0,0.5613459681886557,0.02869180627124031
Feedforward + PI,1.2880529879718152,8.001956704129368,0.48549533011729284,0.4679350109362322,0.033752478600716396
Feedforward + PI,1.3194689145077134,7.962353609418195,10.141963326700221,0.5069014155823399,0.038664006595672186
Feedforward + PI,1.3508848410436112,7.417213560193431,44.360280617013295,0.09478221385649868,0.0019323269376145182
Feedforward + PI,1.3823007675795091,7.648579210368517,13.568072793161768,0.22018120380487746,0.0371111015267636
Feedforward + PI,1.4137166941154071,7.997164797374047,0.00602693114372046,0.4775983625720905,0.03752679552016639
Feedforward + PI,1.4451326206513049,8.0,0.0,0.5195719581726485,0.03426882486654946
Feedforward + PI,1.476548547187203,8.0,0.0,0.5040894555884551,0.031916991925101015
Feedforward + PI,1.5079644737231008,8.0,0.0,0.48193744016342,0.024272374502405075
Feedforward + PI,1.5393804002589988,8.0,0.0,0.4581395199443217,0.01942026589077231
Feedforward + PI,1.5707963267948968,8.0,0.0,0.5275641391064935,0.03160300973204751
PD,0.031415926535897934,1.3052041778672614,0.26888038920578994,0.00406811194519838,1.0359410179653695e-07
PD,0.06283185307179587,1.3052727714661876,0.2707503035920769,0.004036061580746212,9.261688046557205e-08
PD,0.0942477796076938,1.257467816471411,0.27254224413652595,0.004054894115525236,8.915421837411378e-08
PD,0.12566370614359174,1.2699793946331865,0.27359421391820954,0.0040133130980224115,8.823144279614005e-08
PD,0.15707963267948966,1.3070323905319259,0.2733979829060785,0.004008784054326566,1.0107955248969209e-07
PD,0.1884955592153876,1.348693693059001,0.26435909810467806,0.004079645631096,1.361912153375284e-07
PD,0.21991148575128552,1.356587488393632,0.2660295250618716,0.0040984454790557795,1.906369322809258e-07
PD,0.25132741228718347,1.3527945625488071,0.2655025476583217,0.004119587428112741,2.6907217426200276e-07
PD,0.2827433388230814,1.3496408948295924,0.26826096045742426,0.0041321520147414885,3.8116573089122e-07
PD,0.3141592653589793,1.3411343027875013,0.2693152542346163,0.004166341042520108,5.359559859113264e-07
PD,0.3455751918948773,1.3454813253883255,0.2722866833238684,0.004181159221363561,7.426258247242111e-07
PD,0.3769911184307752,1.3409390775622885,0.27440968531362137,0.0042219780974095365,9.97652683733522e-07
PD,0.40840704496667324,1.3460464542130333,0.2787681163888904,0.0042439948742676,1.3123947666199214e-06
PD,0.43982297150257105,1.3409695020142427,0.2828099141304052,0.004295959917623271,1.6930119402593446e-06
PD,0.47123889803846897,1.3469555767104593,0.2886199127743466,0.004326958589716672,2.141567323694767e-06
PD,0.5026548245743669,1.344420146189278,0.294681670858199,0.00438999040825525,2.6654795549564953e-06
PD,0.5340707511102649,1.352400776922026,0.30161242770146873,0.004430579106530032,3.2677780401654343e-06
